mean_fit_time,params,mean_test_score,std_test_score,model
0.03747038841247559,"{'C': 0.06802841044458592, 'penalty': 'l1'}",0.5011595876398574,0.013620507880784078,Logistic_Regression
0.034496307373046875,"{'C': 0.10509482128206889, 'penalty': 'l1'}",0.5009492651774498,0.012899695735946726,Logistic_Regression
0.03849625587463379,"{'C': 0.12057521864302395, 'penalty': 'l1'}",0.5006006301707492,0.013154531025982612,Logistic_Regression
0.033802461624145505,"{'C': 0.029921233502680215, 'penalty': 'l1'}",0.5004784834702717,0.014962617985457569,Logistic_Regression
0.0440824031829834,"{'C': 0.08901197780656714, 'penalty': 'l1'}",0.5003849293973025,0.014081605884194314,Logistic_Regression
0.03658361434936523,"{'C': 0.08313568272527112, 'penalty': 'l1'}",0.5001673236464693,0.01449317944590138,Logistic_Regression
0.044532489776611325,"{'C': 0.07801631235259116, 'penalty': 'l1'}",0.49995986657915426,0.0148196358711133,Logistic_Regression
0.038094520568847656,"{'C': 0.1718110032875875, 'penalty': 'l1'}",0.4999064736997787,0.014284372836502152,Logistic_Regression
0.0360987663269043,"{'C': 0.0534360434629023, 'penalty': 'l1'}",0.49976972270848774,0.01546465143550306,Logistic_Regression
0.03600120544433594,"{'C': 0.17465776936595453, 'penalty': 'l1'}",0.499678394362206,0.01421027384963748,Logistic_Regression
0.036198902130126956,"{'C': 0.052923848401386975, 'penalty': 'l1'}",0.49965587016914376,0.015318638292323866,Logistic_Regression
0.03571014404296875,"{'C': 0.03264417378245396, 'penalty': 'l1'}",0.49956061004454366,0.016238302769306497,Logistic_Regression
0.037498760223388675,"{'C': 0.05925393951130617, 'penalty': 'l1'}",0.49937334754809076,0.014432346407000614,Logistic_Regression
0.02908048629760742,"{'C': 0.30925753063627687, 'penalty': 'l2'}",0.4989489077349664,0.015072986540600707,Logistic_Regression
0.02653965950012207,"{'C': 0.28936986512891716, 'penalty': 'l2'}",0.4987169887986099,0.015359730227255073,Logistic_Regression
0.02652907371520996,"{'C': 0.29944737744522104, 'penalty': 'l2'}",0.49871596595961226,0.01527708839310587,Logistic_Regression
0.024932050704956056,"{'C': 0.34215471846718315, 'penalty': 'l2'}",0.4986117468783907,0.014479294342765124,Logistic_Regression
0.04700145721435547,"{'C': 0.2123965813027213, 'penalty': 'l1'}",0.4981299452200301,0.014037897521905866,Logistic_Regression
0.04542317390441895,"{'C': 0.21945848962331124, 'penalty': 'l1'}",0.49801705346160885,0.013900551875657655,Logistic_Regression
0.029683399200439452,"{'C': 0.024170297614905415, 'penalty': 'l1'}",0.49798964681812735,0.01552166779652321,Logistic_Regression
0.032512664794921875,"{'C': 0.02454388630830688, 'penalty': 'l1'}",0.49787865929931224,0.015500938804482247,Logistic_Regression
0.024508905410766602,"{'C': 0.43664277061666545, 'penalty': 'l2'}",0.4978385838510798,0.016109524237205734,Logistic_Regression
0.04112610816955566,"{'C': 0.4226469934588393, 'penalty': 'l2'}",0.4977244813610458,0.01595121823847019,Logistic_Regression
0.026322317123413087,"{'C': 0.8735680999262341, 'penalty': 'l2'}",0.4974597875666998,0.013870999762795698,Logistic_Regression
0.033908653259277347,"{'C': 0.02206427219050655, 'penalty': 'l1'}",0.49739799384613814,0.015855368611919184,Logistic_Regression
0.03871030807495117,"{'C': 0.5108541651825103, 'penalty': 'l1'}",0.4972445575762475,0.014564545731624448,Logistic_Regression
0.04029264450073242,"{'C': 0.5640463992618079, 'penalty': 'l1'}",0.4972415891955668,0.014343119236608675,Logistic_Regression
0.02991013526916504,"{'C': 2.2824386326112616, 'penalty': 'l2'}",0.4971486559087541,0.013799630985460887,Logistic_Regression
0.027331733703613283,"{'C': 2.2571865297777784, 'penalty': 'l2'}",0.4971486559087541,0.013799630985460887,Logistic_Regression
0.029920053482055665,"{'C': 2.2759055602038867, 'penalty': 'l2'}",0.4971486559087541,0.013799630985460887,Logistic_Regression
0.04765686988830566,"{'C': 0.48238931046084305, 'penalty': 'l1'}",0.4971393718728182,0.014696358468393322,Logistic_Regression
0.029516124725341798,"{'C': 0.6647343085947695, 'penalty': 'l2'}",0.4970705652933233,0.012259825603928087,Logistic_Regression
0.036711597442626955,"{'C': 0.6183835443541629, 'penalty': 'l1'}",0.4970100404525623,0.014640455044637202,Logistic_Regression
0.0393012523651123,"{'C': 0.9887111198168659, 'penalty': 'l1'}",0.4970040391531909,0.014163160837539638,Logistic_Regression
0.04527769088745117,"{'C': 0.7808767346589115, 'penalty': 'l1'}",0.4969961320676459,0.014433878294722166,Logistic_Regression
0.025722408294677736,"{'C': 1.7400406165884121, 'penalty': 'l2'}",0.4969300971294143,0.01387452548580302,Logistic_Regression
0.02673649787902832,"{'C': 0.7776667269926593, 'penalty': 'l2'}",0.4968308427277199,0.01297764423884815,Logistic_Regression
0.03451671600341797,"{'C': 0.01943450167302947, 'penalty': 'l1'}",0.49682537282896455,0.015580353522562611,Logistic_Regression
0.027715682983398438,"{'C': 0.7986662893540837, 'penalty': 'l2'}",0.4966905244848787,0.013677636940226431,Logistic_Regression
0.0502657413482666,"{'C': 0.6590933114259742, 'penalty': 'l1'}",0.4966738473160898,0.014689667929892758,Logistic_Regression
0.039089393615722653,"{'C': 1.4494306047407985, 'penalty': 'l1'}",0.4964558018293054,0.014773489791811442,Logistic_Regression
0.0390625,"{'C': 1.4509916736476312, 'penalty': 'l1'}",0.4964558018293054,0.014773489791811442,Logistic_Regression
0.036896705627441406,"{'C': 0.38212194458967846, 'penalty': 'l1'}",0.49636768806428766,0.014698846719104925,Logistic_Regression
