mean_fit_time,params,mean_test_score,std_test_score,model
0.07851648330688477,"{'C': 0.06769924290718217, 'penalty': 'l1'}",0.5012726952352471,0.013757123571010374,Logistic_Regression
0.08723330497741699,"{'C': 0.14391810137018776, 'penalty': 'l1'}",0.5012640336948853,0.013256260021297726,Logistic_Regression
0.08546667098999024,"{'C': 0.06403306231326916, 'penalty': 'l1'}",0.5011544423772974,0.014657058455036268,Logistic_Regression
0.08774199485778808,"{'C': 0.10416927115040993, 'penalty': 'l1'}",0.501061160981594,0.013010908910687983,Logistic_Regression
0.08731622695922851,"{'C': 0.12900575494763947, 'penalty': 'l1'}",0.5010438399696523,0.013423337904792476,Logistic_Regression
0.08400106430053711,"{'C': 0.08076655884925055, 'penalty': 'l1'}",0.5005159938618134,0.014584546443034006,Logistic_Regression
0.0911651611328125,"{'C': 0.08229587562952072, 'penalty': 'l1'}",0.5005068082379224,0.014292753496694377,Logistic_Regression
0.08272733688354492,"{'C': 0.03769108662129954, 'penalty': 'l1'}",0.5003385555978768,0.015395273019656907,Logistic_Regression
0.08416218757629394,"{'C': 0.037317112125924715, 'penalty': 'l1'}",0.5002273569914387,0.015332097072931518,Logistic_Regression
0.08427438735961915,"{'C': 0.033738513050361865, 'penalty': 'l1'}",0.5002110580044872,0.015854851875918712,Logistic_Regression
0.07670149803161622,"{'C': 0.032768825208447275, 'penalty': 'l1'}",0.4997773647589172,0.016242705737187963,Logistic_Regression
0.08963985443115234,"{'C': 0.05884330833179274, 'penalty': 'l1'}",0.4995992673749541,0.013976449850719698,Logistic_Regression
0.0825965404510498,"{'C': 0.031348216203327735, 'penalty': 'l1'}",0.49950919599515,0.016766603153568732,Logistic_Regression
0.06367778778076172,"{'C': 0.301681560835269, 'penalty': 'l2'}",0.4987205127840749,0.015383703022819346,Logistic_Regression
0.0625391960144043,"{'C': 0.3505863953840446, 'penalty': 'l2'}",0.4984972369011709,0.015155968201247212,Logistic_Regression
0.06694955825805664,"{'C': 0.399733545956784, 'penalty': 'l2'}",0.4984960583820649,0.01594661087033187,Logistic_Regression
0.06915240287780762,"{'C': 0.3768775218955402, 'penalty': 'l2'}",0.49839156819193775,0.014919256435784619,Logistic_Regression
0.06105337142944336,"{'C': 0.34860928602049934, 'penalty': 'l2'}",0.4981713141990106,0.014729948187265609,Logistic_Regression
0.09160084724426269,"{'C': 0.24135335024027957, 'penalty': 'l1'}",0.49780491161916574,0.014343407074569115,Logistic_Regression
0.08145194053649903,"{'C': 0.23733500972398586, 'penalty': 'l1'}",0.49769275851825184,0.014220653130812909,Logistic_Regression
0.08026752471923829,"{'C': 0.02135784474749896, 'penalty': 'l1'}",0.4975114688367098,0.01599067400406021,Logistic_Regression
0.06619863510131836,"{'C': 0.8708253437860198, 'penalty': 'l2'}",0.4974597875666998,0.013870999762795698,Logistic_Regression
0.06689014434814453,"{'C': 0.7049631750832192, 'penalty': 'l2'}",0.4973965036298341,0.012711507304267079,Logistic_Regression
0.07560639381408692,"{'C': 0.2746660251145473, 'penalty': 'l1'}",0.4973572279364869,0.013971817387350273,Logistic_Regression
0.06842212677001953,"{'C': 2.0321542872800604, 'penalty': 'l2'}",0.4972598864340177,0.013797358575592424,Logistic_Regression
0.08963198661804199,"{'C': 0.5027613033357929, 'penalty': 'l1'}",0.4972445575762475,0.014564545731624448,Logistic_Regression
0.091986083984375,"{'C': 0.8112814892447048, 'penalty': 'l1'}",0.49722462604063333,0.014172479657308114,Logistic_Regression
0.07338471412658691,"{'C': 0.021472190990372002, 'penalty': 'l1'}",0.49718360077005286,0.01588544989588609,Logistic_Regression
0.08159794807434081,"{'C': 0.49734722650915886, 'penalty': 'l1'}",0.4971393718728182,0.014696358468393322,Logistic_Regression
0.08961629867553711,"{'C': 0.3148855842052926, 'penalty': 'l1'}",0.49713699066058387,0.014016110860372837,Logistic_Regression
0.06420249938964843,"{'C': 1.022268901967713, 'penalty': 'l2'}",0.4971331327706424,0.01328251256637016,Logistic_Regression
0.08731846809387207,"{'C': 0.8563892879832242, 'penalty': 'l1'}",0.49711296135779665,0.014053059566704355,Logistic_Regression
0.08450236320495605,"{'C': 0.02284011118920526, 'penalty': 'l1'}",0.49706290354779553,0.015309308558424368,Logistic_Regression
0.06410250663757325,"{'C': 1.1003251491927621, 'penalty': 'l2'}",0.4970272320706822,0.013405497875228812,Logistic_Regression
0.06267590522766113,"{'C': 1.1202627642076741, 'penalty': 'l2'}",0.4970272320706822,0.013405497875228812,Logistic_Regression
0.06750144958496093,"{'C': 1.1515140769016945, 'penalty': 'l2'}",0.4970272320706822,0.013405497875228812,Logistic_Regression
0.09143009185791015,"{'C': 0.9795181443676713, 'penalty': 'l1'}",0.4970040391531909,0.014163160837539638,Logistic_Regression
0.06303586959838867,"{'C': 0.20039408754399005, 'penalty': 'l2'}",0.4969604866751701,0.01651181469681587,Logistic_Regression
0.06168708801269531,"{'C': 0.5850662776747017, 'penalty': 'l2'}",0.4969567161839115,0.013179186824725285,Logistic_Regression
0.06136898994445801,"{'C': 1.7462411777183569, 'penalty': 'l2'}",0.4969300971294143,0.01387452548580302,Logistic_Regression
0.09202847480773926,"{'C': 0.3474842639626274, 'penalty': 'l1'}",0.4969231088300929,0.014249013357710342,Logistic_Regression
0.0861893653869629,"{'C': 0.46312807092337743, 'penalty': 'l1'}",0.4969182796865872,0.01466840480298398,Logistic_Regression
0.09238076210021973,"{'C': 0.9967908100542681, 'penalty': 'l1'}",0.49689536226886577,0.01427548113577748,Logistic_Regression
